product_name,quantity_sold,unit_price,store_id,inventory_level,reorder_point,reorder_quantity,supplier_lead_time,customer_age,customer_income,customer_loyalty_level,promotion_applied,holiday_indicator,stockout_indicator,actual_demand,transaction_month,transaction_hour,weekday_Monday,weekday_Saturday,weekday_Sunday,weekday_Thursday,weekday_Tuesday,weekday_Wednesday,weather_conditions_Rainy,weather_conditions_Stormy,weather_conditions_Sunny,payment_method_Credit Card,payment_method_Debit Card,payment_method_Digital Wallet,"store_location_Dallas, TX","store_location_Los Angeles, CA","store_location_Miami, FL","store_location_New York, NY",category_Electronics,customer_gender_Male,customer_gender_Other,promotion_type_None,promotion_type_Percentage Discount
301.328990228013,2.0,1511.3,300.57551020383005,383.0,149.0,108.0,8.0,33.0,4226,2,True,True,True,92.0,1.0,7.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0
298.53013910355486,4.0,1572.87,290.7581967228691,319.0,59.0,220.0,8.0,47.0,4675,2,False,False,True,307.0,2.0,1.0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
293.4882995319813,4.0,442.5,296.7450199205363,424.0,113.0,156.0,1.0,23.0,801,1,False,True,True,483.0,2.0,15.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
298.8442748091603,1.0,959.51,296.04545454614953,339.0,149.0,117.0,7.0,68.0,3671,3,True,True,False,456.0,5.0,10.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0
298.8442748091603,3.0,1618.71,293.65217391345675,228.0,144.0,269.0,2.0,44.0,4192,1,False,False,False,359.0,5.0,17.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
303.0429936305732,4.0,412.83,301.2884615383785,179.0,101.0,287.0,3.0,20.0,2969,2,False,False,True,259.0,6.0,13.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
293.4882995319813,2.0,1416.77,306.67578124957265,317.0,103.0,290.0,7.0,22.0,4792,4,False,True,True,393.0,5.0,8.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
297.4515570934256,2.0,1127.74,307.09960159288164,93.0,145.0,113.0,1.0,29.0,4367,3,False,True,False,339.0,1.0,9.0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
297.4515570934256,1.0,522.47,288.5577689252806,208.0,112.0,236.0,4.0,69.0,2777,2,False,True,False,293.0,3.0,7.0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0
293.4882995319813,1.0,202.58,296.04545454614953,339.0,146.0,202.0,10.0,70.0,2971,4,False,True,True,119.0,3.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
298.53013910355486,1.0,628.82,301.51004016036796,227.0,75.0,279.0,7.0,59.0,3867,4,False,False,True,478.0,4.0,13.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
301.328990228013,1.0,1437.42,307.5506072862772,26.0,110.0,190.0,2.0,33.0,1744,1,True,True,True,152.0,1.0,6.0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0
